PPI,Porosity,Re,Dh,f,Nu
10,0.85,1700,0.005357,3.20368,129.953
50,0.9,700,0.0042,28.9992,78.8035
40,0.9,900,0.003,11.2452,80.2883
40,0.8,900,0.00375,16.984,115.336
20,0.98,500,0.005217,10.2266,39.7982
40,0.95,1500,0.005217,19.3686,95.2509
30,0.95,700,0.005,16.3208,63.3793
40,0.85,1500,0.003,9.19401,116.66
30,0.9,700,0.005217,18.377,81.1826
40,0.95,700,0.00375,16.3792,59.1233
40,0.95,1300,0.0042,15.2913,82.4197
10,0.95,500,0.004615,3.9646,47.6183
20,0.9,300,0.005357,16.4983,53.3994
30,0.85,1500,0.005357,13.745,136.063
20,0.85,500,0.003,5.6114,74.6597
40,0.95,1300,0.003,10.038,74.3494
20,0.95,100,0.004615,24.1262,25.2296
20,0.95,1700,0.005217,8.0184,101.631
10,0.9,500,0.005,4.28789,60.618
20,0.85,900,0.0042,6.87649,97.7578
50,0.95,1300,0.005455,29.2875,90.1338
5,0.8,1300,0.005217,1.34968,108.979
5,0.85,1300,0.00375,1.07835,98.7381
50,0.95,1700,0.0042,18.8301,94.092
50,0.9,1500,0.004615,22.7136,114.441
5,0.85,1300,0.004615,1.31327,99.7097
5,0.98,300,0.004615,1.78655,25.9147
20,0.85,300,0.0042,12.4435,63.1472
30,0.9,1300,0.005,13.2287,107.716
40,0.98,1300,0.005357,18.9933,68.9633
40,0.85,500,0.003,15.9435,78.8111
30,0.95,900,0.0042,11.8019,68.3162
50,0.95,900,0.00375,20.1709,66.664
20,0.98,1300,0.005,7.17155,68.68
20,0.85,900,0.00375,5.9069,95.4527
40,0.98,1500,0.003,8.69179,62.7391
40,0.95,300,0.005217,43.5528,43.2037
10,0.9,1100,0.005357,3.78505,91.2237
5,0.98,700,0.005217,1.70539,45.2594
20,0.8,900,0.00375,5.9141,109.369
20,0.85,300,0.005217,17.6928,63.1301
30,0.95,1500,0.005,12.7233,93.7314
5,0.98,1500,0.003,0.950829,97.7443
5,0.9,700,0.005217,1.79585,63.9359
30,0.85,300,0.005,33.2694,64.8789
40,0.9,700,0.0042,20.5188,78.1906
30,0.95,1700,0.00375,8.78504,91.9482
10,0.95,100,0.005,8.69312,23.3668
10,0.95,1300,0.005357,3.91028,85.6833
5,0.95,1300,0.005357,1.85336,86.182
20,0.85,500,0.005455,13.5466,79.4853
30,0.95,1100,0.005357,15.1614,81.373
50,0.9,1100,0.005,29.5392,101.519
50,0.85,1100,0.004615,27.9155,115.861
50,0.85,300,0.005,84.0023,66.1184
10,0.95,1500,0.005357,3.84545,94.4495
10,0.9,1500,0.00375,2.4603,102.623
40,0.95,500,0.005217,31.4628,55.1451
40,0.95,1700,0.004615,15.9823,97.4684
30,0.85,1300,0.005,13.2754,124.704
50,0.95,700,0.0042,26.5824,61.3322
20,0.8,300,0.005357,20.7948,72.2132
40,0.85,500,0.00375,22.9568,79.7517
40,0.85,700,0.004615,25.8136,94.1369
30,0.8,500,0.005217,27.3803,92.6907
10,0.85,700,0.00375,2.65041,78.3045
5,0.8,1700,0.00375,0.936601,123.258
20,0.95,500,0.005,10.6444,52.1991
20,0.85,100,0.0042,29.0817,44.3153
40,0.9,1100,0.004615,18.895,98.3856
30,0.9,900,0.004615,13.6862,88.4229
40,0.8,500,0.0042,31.0918,93.0586
30,0.85,1700,0.005357,13.0445,144.302
40,0.98,500,0.005357,30.1444,41.7112
30,0.9,900,0.0042,12.0102,86.2337
20,0.9,900,0.005,8.74213,87.6111
20,0.85,1300,0.003,3.95323,106.345
30,0.85,900,0.00375,10.4099,98.7816
20,0.9,500,0.00375,7.49517,63.2583
10,0.9,300,0.005,5.22804,48.4686
10,0.95,700,0.005,4.01225,57.933
20,0.85,100,0.005,39.7305,40.5008
5,0.9,1300,0.005357,1.69983,94.2455
40,0.8,1300,0.0042,16.3089,136.752
40,0.9,1300,0.005357,21.7095,111.509
20,0.95,1500,0.0042,6.40207,89.3804
30,0.85,500,0.004615,20.0585,80.2317
20,0.8,900,0.004615,7.97014,113.403
10,0.9,1100,0.005217,3.67681,90.6966
5,0.85,700,0.005455,1.72257,72.5899
5,0.95,1100,0.0042,1.50262,76.4287
30,0.9,300,0.00375,18.0647,53.54
10,0.85,700,0.005357,4.05932,83.4471
20,0.95,1300,0.0042,6.56207,82.326
40,0.85,1100,0.0042,17.0569,112.112
40,0.85,500,0.005217,40.1887,82.7043
40,0.85,1300,0.005455,23.2055,129.919
20,0.98,1500,0.004615,6.35076,74.1377
20,0.95,1700,0.004615,6.97928,98.4214
30,0.95,1700,0.0042,10.0326,95.0346
10,0.95,1500,0.005217,3.74155,94.1173
5,0.85,1300,0.0042,1.20046,99.0712
20,0.85,300,0.0042,12.4435,63.1472
50,0.98,300,0.003,23.5,28.2584
10,0.9,1300,0.005357,3.67243,100.202
40,0.85,500,0.005455,43.41,83.2203
40,0.95,1500,0.004615,16.5423,91.3897
10,0.85,1100,0.005357,3.53142,103.544
30,0.95,1100,0.004615,12.5211,77.7282
20,0.95,1100,0.0042,6.77998,75.0073
30,0.85,300,0.0042,24.6082,65.0766
40,0.95,500,0.0042,22.5978,52.1703
40,0.85,700,0.003,13.052,87.9104
30,0.9,900,0.003,7.66257,79.4135
20,0.95,500,0.003,5.55165,47.013
30,0.9,1100,0.00375,9.58561,91.5909
20,0.8,700,0.005357,11.4928,104.531
5,0.95,500,0.004615,1.8026,43.9014
50,0.98,100,0.004615,118.258,18.9728
20,0.8,1100,0.00375,5.41387,118.36
40,0.9,1500,0.005357,20.4394,119.495
5,0.98,500,0.004615,1.60822,35.6127
30,0.98,1300,0.005,11.8641,67.9012
40,0.95,900,0.005217,23.4007,73.5597
30,0.85,100,0.005455,100.394,39.7851
20,0.85,1100,0.005,8.03352,111.562
5,0.8,1700,0.005,1.2393,126.177
30,0.85,1300,0.005,13.2754,124.704
20,0.85,900,0.004615,7.82174,99.9302
30,0.98,700,0.0042,11.6592,45.7665
5,0.95,500,0.005217,2.01259,44.3502
30,0.98,1100,0.005217,13.2032,62.4697
30,0.9,1300,0.004615,11.8981,105.105
30,0.85,1300,0.005,13.2754,124.704
20,0.9,700,0.005,9.61286,77.7684
10,0.9,100,0.005455,11.2869,30.7117
30,0.9,900,0.005455,17.3412,92.5882
40,0.85,1100,0.005217,23.787,118.691
5,0.9,100,0.005217,3.49006,27.4142
40,0.95,300,0.005217,43.5528,43.2037
10,0.98,1100,0.00375,2.4553,61.6664
20,0.85,1700,0.0042,5.55874,130.546
40,0.98,700,0.005455,25.651,49.8466
50,0.9,900,0.0042,25.2089,88.0563
5,0.95,1100,0.0042,1.50262,76.4287
30,0.8,1300,0.005,13.6688,140.443
40,0.95,900,0.0042,17.3216,68.7877
50,0.9,1100,0.005,29.5392,101.519
20,0.85,700,0.00375,6.55237,86.2443
20,0.95,300,0.005455,15.2866,41.5742
30,0.85,1700,0.005217,12.5768,143.087
20,0.95,900,0.005,8.75515,70.4241
40,0.8,500,0.005217,45.6761,93.9079
10,0.95,1100,0.005357,3.99837,76.8262
10,0.95,500,0.0042,3.57792,46.8561
